Week Number,Topic,Code,Lesson Title,Objective,Content,Type of Activity,Activities
30,Light and Shadows,4.3,"Transparent, Translucent, and Opaque Materials",Learn why we can see through some objects but not others.,"- Transparent: Allows most light to pass through (e.g., glass).
- Translucent: Allows some light to pass through (e.g., frosted glass).
- Opaque: Blocks light completely (e.g., wood).",Class Activity,"- Sort classroom objects into transparent, translucent, and opaque categories."
31,Light and Shadows,4.3,Shadows and Their Formation,Understand how shadows are formed.,"- Shadows are formed when light is blocked by an opaque object.
- The size and shape of shadows depend on the position of the light source.",Experiment,- Shine a flashlight on objects of different shapes and observe the shadows formed.
32,Light and Shadows,4.3,Exploring Shadow Sizes,Learn how the position of the light source affects shadow size.,- Shadows are longer when the light source is low and shorter when the light source is high.,Experiment,- Use a flashlight to create shadows at different angles and measure their lengths.
33,Light and Shadows,4.3,Real-Life Applications of Shadows,Understand the uses of shadows in daily life.,"- Examples: Sundials, puppetry, shading in art.",Class Activity,- Discuss and draw examples of how shadows are used in real life.
34,Light and Shadows,4.3,Review of Key Concepts,Recap all concepts covered in Light and Shadows.,"- Importance of light, sources, reflection, shadow formation, and material transparency.",Class Activity,- Play a trivia game where students answer questions about light and shadows.
35,Light and Shadows,4.3,Hands-On Shadow Puppet Activity,Explore the creative use of shadows.,"- Students create shadow puppets using cardboard and a flashlight.
- Discuss how shadow shapes and sizes change with movement.",Class Activity,- Perform short stories using shadow puppets in groups.
36,Light and Shadows,4.3,Practical Review of Concepts,Reinforce concepts through observation and discussion.,- Use real-life objects to observe light reflection and shadow formation.,Teacher Demonstration,"- Set up stations to review concepts (e.g., mirrors for reflection, materials for transparency)."
37,Light and Shadows,ASS43,Intermediate Test and Consolidation,Assess understanding of Unit 9.,- Group discussion to address questions and clarify concepts.,Assessment,- Conduct Intermediate Test covering Unit 9.
38,,,,,,,
39,,,,,,,
40,Heat and Temperature,4.4,Introduction to Heat,Understand what heat is and why it is important.,"- Heat as a form of energy.
- Heat transfer: From hotter objects to cooler objects.",Class Activity,"- Discuss everyday examples of heat (e.g., sunlight, cooking, body warmth)."
41,Heat and Temperature,4.4,Introduction to Temperature,Understand what temperature is and how it is measured.,"- Temperature: A measure of how hot or cold something is.
- Tools: Thermometer and its units (Celsius, Fahrenheit).",Teacher Demonstration,- Show how to use a thermometer to measure the temperature of water.
42,Heat and Temperature,4.4,Difference Between Heat and Temperature,Learn the difference between heat and temperature.,"- Heat: Total energy in an object.
- Temperature: Average kinetic energy of particles.",Experiment,- Compare the temperature of a large and small cup of hot water to understand heat vs. temperature.
43,Heat and Temperature,4.4,Why Things Become Hot or Cold,Explore the reasons objects become hot or cold.,"- Heat transfer through conduction, convection, and radiation.",Teacher Demonstration,- Show heat transfer by touching a metal spoon left in hot water versus a plastic spoon.
44,Heat and Temperature,4.4,Effects of Heat Gain and Heat Loss,Understand how heat affects matter.,"- Heat gain: Causes expansion or melting.
- Heat loss: Causes contraction or freezing.",Experiment,- Observe the expansion of air by placing a balloon over a bottle in hot water.
45,Heat and Temperature,4.4,Expansion and Contraction in Daily Life,Learn how expansion and contraction affect daily life.,"- Examples: Gaps in railway tracks, cracking of roads, thermometers.",Class Activity,- Identify examples of expansion and contraction in pictures and explain them.
46,Heat and Temperature,4.4,Good and Poor Conductors of Heat,Identify good and poor conductors of heat and their uses.,"- Good conductors: Metals like copper, aluminum.
- Poor conductors: Wood, plastic, rubber.",Experiment,- Compare heat transfer through metal and wooden spoons placed in hot water.
47,Heat and Temperature,4.4,Compare heat transfer through metal and wooden spoons placed in hot water.,Understand the practical uses of heat and temperature.,"- Examples: Cooking, insulation, thermometers, and climate control.",Class Activity,- Discuss examples of using heat and temperature in daily life and why materials are chosen for specific tasks.
48,Heat and Temperature,4.4,Review of Key Concepts,"Recap key concepts about heat, temperature, and their effects.","- Summary of heat transfer, expansion/contraction, and conductors/insulators.",Class Activity,- Quiz game to recap key concepts of heat and temperature.
49,Heat and Temperature,4.4,Practical Review of Experiments,Reinforce concepts through hands-on review.,"- Review experiments on heat transfer, expansion, and conduction.",Teacher Demonstration,"- Set up stations to revisit experiments (e.g., balloon expansion, spoon conduction)."
50,Heat and Temperature,ASS44,Intermediate Test and Consolidation,Assess understanding of Unit 10.,- Group discussion to clarify doubts after the test.,Assessment,- Conduct Intermediate Test covering Unit 10.
51,,,,,,,
52,,,,,,,
