Week Number,Topic,Code,Lesson Title,Objective,Content,Type of Activity,Activities
21,Adaptations,6.1.4,Adaptations for Movement and Living in Dark Environments,Understand how organisms adapt to move and live in darkness.,"- Movement: Wings (birds, insects), webbed feet (ducks).
- Dark environments: Enhanced senses, bioluminescence (bats, deep-sea fish).",Teacher Demonstration,"- Show videos or images of animals with unique movement or adaptations for darkness.
- Discuss why these adaptations are critical for survival in specific environments."
22,Adaptations,6.1.4,Adaptations for Obtaining Sunlight and Food,Learn how organisms adapt to get sunlight and food.,"- Sunlight: Tall trees in rainforests, climbing plants (vines).
- Food: Beaks of birds, teeth of carnivores and herbivores.",Experiment,- Grow a potted plant in sunlight versus darkness to observe its response.
23,Adaptations,6.1.4,"Adaptations for Catching Prey, Protecting Against Predators, and Reproduction",Explore adaptations for survival strategies and reproduction.,"- Catching prey: Sharp claws, fast movement (eagles, cheetahs).
- Protection: Camouflage, mimicry, spikes (stick insects, porcupines).
- Reproduction: Colorful flowers, sweet fruit, pollination strategies.",Class Activity,"- Match examples of adaptations with their purposes (e.g., spikes for defense)."
24,Adaptations,ASS63,Review and Intermediate Assessment,Recap all adaptations and assess understanding.,- Play a trivia game where students match animals/plants with their adaptations.,Assessment,- Conduct Intermediate Assessment covering Unit 20.
25,,,,,,,
26,,,,,,,
27,"Food Chains, Food Webs, and Energy in Food",6.2.1,Introduction to Energy in Food,Understand why living things need food and how they obtain energy.,"- Food provides energy for survival and growth.
- Animals obtain energy by consuming food; plants make their own food.",Class Activity,- Brainstorm examples of foods and discuss how they provide energy for different activities.
28,"Food Chains, Food Webs, and Energy in Food",6.2.1,Photosynthesis – How Plants Make Their Own Food,"Learn how plants produce their own food using sunlight, water, and carbon dioxide.","- Photosynthesis process and its importance.
- Role of chlorophyll and sunlight.",Experiment,- Use a potted plant to demonstrate the importance of sunlight in photosynthesis (cover one leaf and observe changes over time).
29,"Food Chains, Food Webs, and Energy in Food",6.1.3,Producers and Consumers,Differentiate between producers and consumers in a food chain.,"- Producers: Plants that make their own food.
- Consumers: Animals that eat plants or other animals.
- Types of consumers: Herbivores, carnivores, omnivores.",Class Activity,- Create a table listing examples of producers and different types of consumers.
30,"Food Chains, Food Webs, and Energy in Food",6.1.3,Predators and Prey,Understand the relationships between predators and prey in ecosystems.,"- Predators: Animals that hunt and eat other animals.
- Prey: Animals that are hunted.",Class Activity,- Role-play predator-prey relationships using flashcards with animal names.
31,"Food Chains, Food Webs, and Energy in Food",6.1.3,Introduction to Food Chains,Learn how energy flows through a food chain.,"- Simple food chains: Producer → Primary Consumer → Secondary Consumer.
- Example: Grass → Grasshopper → Frog → Snake.",Experiment,- Build a simple food chain using pictures or objects to represent organisms.
32,"Food Chains, Food Webs, and Energy in Food",6.1.3,Introduction to Food Webs,Understand how food chains interconnect to form food webs.,- Food web: A network of interconnected food chains in an ecosystem.,Class Activity,- Create a food web for a forest or pond ecosystem using cards or drawings.
33,"Food Chains, Food Webs, and Energy in Food",6.1.3,Populations and Their Interactions,Explore how populations in communities affect one another.,"- Competition, mutualism, and changes in population size.
- Effects of introducing or removing a species from a habitat.",Class Activity,"- Discuss scenarios of introducing new species (e.g., invasive species) and predict effects on the ecosystem."
34,"Food Chains, Food Webs, and Energy in Food",6.2.1,Importance of the Sun,Understand the Sun’s role in providing energy for all living things.,"- The Sun as the primary source of energy.
- Its role in photosynthesis and supporting food chains.",Teacher Demonstration,- Use a diagram to show energy flow from the Sun through producers to consumers.
35,"Food Chains, Food Webs, and Energy in Food",6.1.3,Impact of Changes in Food Webs,Learn about the consequences of disruptions in food webs.,"- Causes of disruptions: Habitat destruction, pollution, overhunting.
- Effects: Extinction, population imbalance.",Class Activity,- Group discussion on how humans impact food webs and how to mitigate these effects.
36,"Food Chains, Food Webs, and Energy in Food",6.2.1,"Recap of Food Chains, Food Webs, and Energy in Food",Review key concepts across both units.,"- Summary of food chains, food webs, energy flow, and ecological relationships.",Class Activity,"- Play a trivia game to recap concepts, with questions on producers, consumers, food chains, and energy."
37,"Food Chains, Food Webs, and Energy in Food",ASS64,Intermediate Assessment and Consolidation,Assess understanding of Units 19 and 22.,- Discuss assessment results and clarify doubts.,Assessment,- Conduct Intermediate Assessment covering Units 19 and 22.
38,,,,,,,
39,,,,,,,
40,"Forms and Uses of Energy, and Sources of Energy",6.2.2,Introduction to Energy and Light Energy,Understand the concept of energy and explore light energy.,"- Energy: The ability to do work or cause change.
- Light energy: How it helps us see and supports life (e.g., photosynthesis).",Teacher Demonstration,"- Brainstorm uses of light energy in daily life.
- Use a flashlight and objects to explore how light travels and interacts with surfaces."
41,"Forms and Uses of Energy, and Sources of Energy",6.2.2,Heat Energy,Learn about heat energy and its uses.,"- Heat energy: Energy that makes things warmer.
- Examples: Cooking, warming homes, and driving engines.",Experiment,"- Compare how different materials (metal, plastic, wood) feel when exposed to the Sun to demonstrate heat conduction."
42,"Forms and Uses of Energy, and Sources of Energy",6.2.2,Sound Energy,Explore sound energy and how it travels.,"- Sound energy: Vibrations that travel through air or other media.
- Examples: Communication, music, safety signals.",Experiment,- Stretch a rubber band over a box and pluck it to observe sound vibrations.
43,"Forms and Uses of Energy, and Sources of Energy",6.2.2,Electrical Energy,Learn about electrical energy and its importance.,"- Electrical energy: Energy from electric charges.
- Uses: Lighting, appliances, and powering devices.",Class Activity,- Identify electrical devices in the classroom and discuss their functions.
44,"Forms and Uses of Energy, and Sources of Energy",6.2.2,Kinetic and Potential Energy,Understand kinetic and potential energy and their differences.,"- Kinetic energy: Energy of motion.
- Potential energy: Stored energy based on position.",Experiment,- Build a sloping track and release a marble from different heights to demonstrate the conversion of potential energy to kinetic energy.
45,"Forms and Uses of Energy, and Sources of Energy",6.2.2,Energy Transformation,Explore how energy changes from one form to another.,"- Examples: Electric energy to light and heat, potential energy to kinetic energy.",Teacher Demonstration,- Use a wind-up toy or battery-operated device to show energy transformations.
46,"Forms and Uses of Energy, and Sources of Energy",6.2.3,Sources of Energy,Identify different energy sources and their uses.,"- Renewable sources: Sun, wind, water.
- Non-renewable sources: Coal, oil, gas.",Class Activity,"- Discuss examples of energy sources used in transportation, cooking, and electricity generation."
47,"Forms and Uses of Energy, and Sources of Energy",6.2.3,Sun as the Main Source of Energy,Understand how the Sun is the ultimate energy source.,"- The Sun powers photosynthesis and drives the water and weather cycles.
- Solar energy applications.",Experiment,- Use a magnifying glass to focus sunlight on a piece of paper (with safety precautions) to demonstrate solar energy.
48,"Forms and Uses of Energy, and Sources of Energy",6.2.3,Renewable and Non-Renewable Energy Sources,Learn the difference between renewable and non-renewable energy sources.,"- Renewable sources: Wind, solar, hydro, biomass.
- Non-renewable sources: Fossil fuels, uranium.",Class Activity,- Group students to create posters on renewable vs. non-renewable sources and their benefits/drawbacks.
49,"Forms and Uses of Energy, and Sources of Energy",6.2.3,Conserving Energy,Explore why and how to conserve energy.,"- Reasons to conserve energy: Sustainability, cost savings, environmental protection.
- Simple ways to save energy: Turn off lights, use energy-efficient devices.",Class Activity,- Create an energy conservation pledge for the class.
50,"Forms and Uses of Energy, and Sources of Energy",ASS65,Intermediate Assessment and Consolidation,Assess understanding of Units 23 and 24.,- Discuss assessment results and clarify doubts.,Assessment,- Conduct Intermediate Assessment covering Units 23 and 24.
51,,,,,,,
52,,,,,,,
